Year,Month,Day,Specific Humidity,Relative Humidity,Temperature
2000,2,1,8.73,50.81,25.83
2004,5,1,16.91,62.81,21.23
2012,6,1,18.68,74.69,13.49
2010,11,1,17.03,82.31,13.91
2012,8,1,19.41,90.31,5.54
2008,8,1,18.98,90.31,6.88
2008,4,1,12.82,51.94,21.89
2009,9,1,19.41,88.69,9.84
2007,4,1,12.94,50.88,23.7
2016,11,1,10.5,61.06,18.4
2006,3,1,10.38,48.25,23.8
2017,11,1,11.96,67.12,15.95
2017,7,1,19.84,89.94,5.37
2010,2,1,9.16,50.5,23.31
2020,12,1,12.21,69.38,17.77
2001,9,1,18.68,87.69,10.91
2015,9,1,18.31,84.44,13.56
2005,12,1,9.46,58.5,19.3
2008,11,1,13.0,67.69,17.81
2001,3,1,11.29,55.56,20.97
2007,9,1,19.47,89.62,8.16
2014,12,1,9.34,54.5,21.85
2008,7,1,19.53,89.38,5.33
