Year,Month,Day,Specific Humidity,Relative Humidity,Temperature,Precipitation
2015,7,1,19.4,86.62,26.95,281.79
2015,8,1,19.04,87.4,26.53,122.76
2015,9,1,18.32,84.46,26.51,308.7
2015,10,1,17.19,75.88,27.46,72.23
2015,11,1,13.88,69.43,25.39,29.4
2015,12,1,9.5,52.73,23.88,0.0
2016,1,1,7.57,45.48,23.49,0.31
2016,2,1,9.5,50.44,25.65,19.72
2016,3,1,10.77,47.83,29.19,4.03
2016,4,1,13.34,53.82,30.52,1.5
2016,5,1,16.98,61.31,31.46,9.3
2016,6,1,19.42,77.23,29.21,529.2
2016,7,1,19.74,91.17,26.3,994.17
2016,8,1,19.14,90.72,25.89,705.56
2016,9,1,18.62,90.0,25.62,606.6
2016,10,1,15.56,78.89,24.98,100.44
2016,11,1,10.49,61.15,23.03,0.0
2016,12,1,9.26,53.87,23.35,0.0
2017,1,1,8.03,48.83,23.34,0.0
2017,2,1,7.47,37.84,26.96,0.0
2017,3,1,10.0,46.6,28.45,1.86
2017,4,1,12.62,53.13,30.36,0.3
2017,5,1,16.13,59.1,31.54,13.33
2017,6,1,20.11,82.24,28.54,592.5
2017,7,1,19.84,89.94,26.63,1016.49
2017,8,1,19.27,89.93,26.16,668.67
2017,9,1,19.48,88.39,26.7,471.9
2017,10,1,16.92,77.32,26.64,136.4
2017,11,1,11.99,67.16,23.55,0.9
2017,12,1,11.09,66.65,22.3,47.12
2018,1,1,9.03,54.45,23.07,2.17
2018,2,1,8.49,44.69,26.01,6.44
2018,3,1,9.6,42.51,29.21,1.55
2018,4,1,12.87,51.32,30.89,0.9
2018,5,1,16.02,59.21,31.38,5.27
2018,6,1,20.03,81.75,28.59,538.8
2018,7,1,19.73,91.0,26.3,970.61
2018,8,1,18.79,89.94,25.74,423.77
2018,9,1,17.9,85.51,25.94,99.6
2018,10,1,15.21,69.41,26.92,21.7
2018,11,1,11.85,58.87,25.81,6.6
2018,12,1,7.98,46.4,23.39,0.31
2019,1,1,5.72,34.59,23.38,0.31
2019,2,1,7.46,40.49,25.35,0.28
2019,3,1,9.05,43.84,28.04,0.62
2019,4,1,13.04,52.8,30.88,3.6
2019,5,1,15.26,58.28,31.03,0.31
2019,6,1,19.01,73.44,29.84,436.8
2019,7,1,20.43,90.82,26.93,1097.09
2019,8,1,19.6,90.75,26.27,659.68
2019,9,1,19.78,91.42,26.32,939.6
2019,10,1,18.16,84.44,26.39,192.82
2019,11,1,15.64,78.56,25.18,53.4
2019,12,1,14.11,76.75,23.91,2.79
2020,1,1,10.67,67.73,21.67,0.31
2020,2,1,9.27,49.88,25.17,0.29
2020,3,1,10.48,49.34,27.62,4.03
2020,4,1,13.27,51.15,31.56,5.1
2020,5,1,16.18,57.28,32.2,7.44
2020,6,1,19.78,82.85,28.13,463.2
2020,7,1,20.28,90.18,26.93,778.72
2020,8,1,20.08,92.3,26.35,1203.42
2020,9,1,19.74,90.18,26.52,364.2
2020,10,1,18.44,82.78,26.94,180.42
2020,11,1,14.84,75.99,24.84,0.6
2020,12,1,12.24,69.43,23.24,12.09
